# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_CF473DDE": "青蛙王子"
"HASH_C4D659DE": "午夜蓝"
"HASH_143B15DE": "轮辋套组 9"
"HASH_531143DE": "现实狂热摇头娃"
"HASH_FC26E9DE": "女式拉链夹克"
"cm_hand_leathertrendy": "皮手套"
"HASH_5982EBDF": "RECTO-ROCKETS"
"HASH_C21477DF": "A classic of the genre."
"HASH_A0CF07DF": "轮胎耐久"
"HASH_BBAB97DF": "DARK BLUE METAL"
"Wonder Saint": "QUEEN AMAZONIA"
"HASH_04C9FBDF": "日常平角裤"
"HASH_DD8D71DF": "武士铠甲"
"cf_hair_pompadour-01": "POMPADOUR BRAIDS"
"HASH_D5A881E0": "BLACK GOLD"
"HASH_12A6D5E0": "愤怒 "
"HASH_67D5EDE0": "MODERN MALE"
"HASH_0E630BE0": "卡巴纳 Polo 衫"
"cf_foot_50sshoes": "SOCK HOP SHOES"
"HASH_09C3BBE1": "摩托靴"
"HASH_17944FE1": "朋克美味"
"HASH_B9CD3FE1": "西装"
"HASH_275421E2": "Increases the effective range of the weapon"
"HASH_FFDB4DE2": "嘴角深度"
"HASH_AD97CBE2": "下背"
"HASH_87CB3DE2": "潮人眼镜"
"HASH_DCB803E2": "破樱桃"
"HASH_E43E9BE3": "Once a Saint, always a Saint."
"HASH_4ABCF9E3": "INFLATO-RAY"
"HASH_8FA409E3": "亚洲"
"HASH_911421E3": "恶魔泳裤"
"HASH_3E08DFE3": "面部穿刺"
"HASH_9E5D9BE4": "整个右腿"
"HASH_C9DFA7E4": "天使狂热"
"HASH_48089BE4": "双黄"
"HASH_91927FE4": "市政"
"HASH_76A477E4": "匪帮女孩"
"HASH_739405E4": "男模衬衫配领结"
"HASH_6A6851E4": "钢埠女英雄衬衫"
"HASH_600113E5": "They'll never see you coming."
"HASH_0B5AF3E5": "油亮喷棕"
"HASH_C9168FE5": "撒尿狗"
"HASH_C9CAADE5": "SLASHER BOOT"
"HASH_8F198FE5": "松散马尾"
"cm_lp35q_hat_strainer": "STRAINER"
"cm_lp35h_suit_m_karate": "KARATE COBRA"
"HASH_FE55FFE5": "部落环纹"
"HASH_2244FFE6": "Puts a hurtin' on uppity humans."
"HASH_919A4DE6": "鼻孔高度"
"Redhead": "红发"
"HASH_1174BDE6": "小丑"
"HASH_BE47FFE6": "灰色 2"
"HASH_1A49F5E7": "野马"
"HASH_D49E3FE7": "盖特吉祥物装"
"HASH_E5293DE7": "碎颅耳环"
"HASH_1473FDE8": "GALACTIC RED"
"HASH_A8A603E8": "塑料"
"cm_ubdy_ffiretee": "FRIENDLY FIRE TEE"
"HASH_48D721E8": "心碎"
"HASH_5579E5E8": "翱翔之时"
"HASH_9CC421E9": "拉美裔 3"
"HASH_929F37E9": "大猫面具"
"HASH_9A09A5E9": "红衣主教眼镜"
"cf_hair_mullet_01": "80'S ROCKER GIRL"
"HASH_70714BE9": "萨梅迪之子"
"HASH_CAC4D9EA": "RESPECT MY AUTHORITY"
"HASH_CAE577EA": "攻击"
"cf_eyes_pixelshades": "LOW RES SHADES"
"HASH_B0CEF1EA": "晴朗夜空"
"HASH_2F9A35EB": "MINETHROWER ARM"
"HASH_3733B1EB": "非裔 4"
"HASH_291D6DEB": "黑钛"
"HASH_B377B7EB": "贴花 1"
"HASH_E0EE55EB": "愤怒老虎面具"
"HASH_B33513EB": "天后耳环"
"cm_ubdy_volition": "V HOODIE"
"HASH_4CB75DEB": "五点钟胡"
"HASH_2D337BEB": "紫红 2"
"HASH_E33BD7EB": "棕色 3"
"HASH_32EA47EB": "腹部"
"HASH_D1875BEC": "GREEN CAMO"
"HASH_02F69DEC": "选项 3"
"HASH_CC2EA5EC": "UNCLE SAM"
"HASH_831D47EC": "右鼻钉"
"cm_lp35l_head_m_flighthelm": "AVIATORS HELMET"
"HASH_477C0FEC": "淡褐"
"HASH_DACADFED": "PITCH"
"HASH_3B6B5BED": "纯青"
"HASH_52E98BED": "内心平和"
"HASH_D42AF1EE": "双下巴深度"
"HASH_9DDC55EE": "丑角紫"
"HASH_6D4435EE": "钢埠惊艳帽"
"cm_lbdy_boardshorts01": "BOARD SHORTS"
"HASH_3DE76DEE": "困惑"
"HASH_402BC9EE": "比基尼晒痕，丁字裤"
"HASH_0EF2C1EF": "SPEC OPS SMG"
"HASH_2677A3EF": "冰白"
"HASH_3FF1F5EF": "中灰"
"HASH_9038ADEF": "中分"
"HASH_2316FBEF": "右眉环与鼻钉"
"HASH_556C5FEF": "祭坛男孩"
"cm_ubdy_sweat3rdst": "3RD STREET SWEATSHIRT"
"HASH_01E543EF": "烟熏"
"HASH_AAB22FEF": "橙色 9"
"HASH_19C0A9EF": "全脸"
"HASH_3DADEBF0": "圣徒中的圣徒文胸"
"HASH_37BF57F0": "兄弟骷髅针织帽"
"HASH_8E3B51F0": "琐事高领衫"
"HASH_FE4699F0": "军士长"
"HASH_D2AE15F0": "BASIC DENIM"
"HASH_771C8FF0": "旭日"
"HASH_D4482DF1": "鼻尖高低"
"HASH_59C2F5F1": "21世纪牛仔裤"
"HASH_55F2FFF1": "恶魔之角"
"HASH_3B9365F1": "垃圾 T 恤"
"HASH_B41A73F2": "贴花 5"
"HASH_4BDA99F2": "描眉"
"HASH_2A5EBFF2": "紫红 6"
"HASH_E45613F2": "棕色 7"
"HASH_A8DF83F3": "嘴角大小"
"HASH_91C379F3": "柔紫"
"HASH_233FB5F3": "CYBER"
"HASH_B250ABF3": "重量级面具"
"HASH_F910BBF3": "街头滑鞋"
"HASH_99F3BDF3": "钢埠女英雄靴"
"cm_ubdy_spacesmuggler": "PUCKISH ROGUE VEST"
"HASH_C9616BF4": "耳朵间距"
"HASH_B34AEDF4": "慵懒 "
"CUST_WEAR_NORMAL": "普通"
"HASH_E3EE87F4": "口袋火箭手套"
"HASH_2489F3F5": "VAMPIRIC AMMO"
"HASH_2CF6BBF5": "WORKMAN'S COMP"
"HASH_059B59F5": "选项 7"
"HASH_1D8D59F5": "轮辋套组 5"
"HASH_A871FBF5": "唇彩"
"cm_ubdy_plaintee": "BASIC TEE"
"HASH_763ED5F6": "It's deep. It's silver. It's deeply silver."
"HASH_E9883DF6": "Alien Tech, Saints Attitude"
"HASH_53D075F6": "女性 1"
"HASH_8592EFF6": "帮派粉碎短靴"
"cf_wrstr_80sbracelet": "80'S BANGLES"
"HASH_068887F6": "埃及公主"
"HASH_702081F7": "重磅靴"
"HASH_654619F7": "BLOCK BODY"
"cm_blowupdoll": "充气人偶"
"HASH_3A8AA9F7": "赴死盛装"
"HASH_E797C7F8": "EXPLOSIVE AMMO"
"HASH_10F98BF8": "蒸汽朋克时装"
"HASH_4D3F8BF9": "颈部"
"HASH_27B191F9": "酒红"
"HASH_11A469F9": "皮手套"
"HASH_5303B7F9": "下巴钉"
"HASH_9A2DAFF9": "摇滚腕带"
"HASH_9EEA85F9": "野孩子裤"
"HASH_A96B01F9": "啤酒节短裙"
"cf_hat_bathtowel": "TOWEL CROWN"
"HASH_4E581DF9": "罪犯克星"
"HASH_87924DFA": "轮胎"
"HASH_725D5FFA": "尾鳍"
"HASH_FE8C8BFA": "三秒压制上衣"
"HASH_0F9413FB": "LIL' STINGER"
"HASH_1C8F7FFB": "ACCESS GATEWAY WEAPONS"
"HASH_1E6795FB": "GENTLEMANS COAT"
"HASH_DBD5C7FB": "骷髅堆"
"HASH_79158FFB": "左肩"
"HASH_BE3F41FC": "GOLD-PLATED"
"HASH_B9F62FFC": "上身"
"HASH_C4DC21FC": "垂帘"
"male_athletic": "男性运动"
"HASH_56EDB1FC": "摔跤手士兵"
"HASH_82EBA1FD": "Elegant and understated ... until you pull the trigger."
"HASH_0F991BFD": "Zin gone gangsta."
"HASH_90BC7FFD": "颅顶宽度"
"HASH_CEB263FD": "打嗝"
"cm_ubdy_springjackettrendy": "BELTED LEATHER JACKET"
"cm_eyes_president_specs": "PRESIDENTIAL SHADES"
"HASH_3EE135FE": "GOLD-PLATED"
"HASH_1D2431FE": "告诉他们"
"HASH_CFB1FFFE": "深古铜棕"
"HASH_2EAC11FE": "铜"
"HASH_E244F9FE": "学院风耳钉"
"HASH_2EFBF1FE": "战斗宝贝"
"HASH_1665E9FE": "林沃德"
"HASH_5EFB45FE": "TITS AND GRITS"
"HASH_2218BFFE": "锦上樱桃"
"HASH_8A89C9FF": "RELOAD SPEED"
"HASH_C838DBFF": "麦田黄"
"Matt Miller Outfit": "DECKER KING"
"HASH_DB7D85FF": "武士头盔"
"cm_lp35c_suit_m_hero": "DESERT DWELLER ROBE"
"HASH_B92A3BFF": "灰色 6"
